product_category_name	total_products	total_orders	total_revenue	avg_review_score	avg_delay_rate	avg_freight_ratio	dwh_create_date
fashion_underwear_e_moda_praia	53	122	11457.74	3.98	10.23	39.10	2026-05-15 15:12:26.650
esporte_lazer	2855	7768	1143703.05	4.09	7.65	29.73	2026-05-15 15:12:26.650
musica	27	38	6724.86	4.23	11.11	48.88	2026-05-15 15:12:26.650
fraldas_higiene	12	27	2141.27	3.7	4.17	32.44	2026-05-15 15:12:26.650
fashion_roupa_masculina	95	123	12950.23	3.56	5.87	27.68	2026-05-15 15:12:26.650
moveis_colchao_e_estofado	9	37	5856.71	3.24	16.33	35.67	2026-05-15 15:12:26.650
cine_foto	25	60	7514.26	4	5.77	34.64	2026-05-15 15:12:26.650
construcao_ferramentas_iluminacao	77	243	48048.55	3.89	14.85	30.26	2026-05-15 15:12:26.650
relogios_presentes	1319	5697	1287998.09	4.13	7.56	13.92	2026-05-15 15:12:26.650
consoles_games	314	1066	175339.95	3.95	7.25	30.56	2026-05-15 15:12:26.650
moveis_sala	155	427	86386.10	3.91	8.49	29.96	2026-05-15 15:12:26.650
audio	58	346	55014.75	3.75	10.79	27.77	2026-05-15 15:12:26.650
bebidas	78	294	27336.08	3.95	6.07	43.27	2026-05-15 15:12:26.650
climatizacao	123	250	61083.31	3.86	3.80	21.07	2026-05-15 15:12:26.650
alimentos	80	445	35942.54	4.14	5.44	33.92	2026-05-15 15:12:26.650
construcao_ferramentas_seguranca	88	164	43678.63	3.85	3.46	23.90	2026-05-15 15:12:26.650
pcs	30	181	232799.43	4	13.18	7.04	2026-05-15 15:12:26.650
seguros_e_servicos	2	2	324.51	2.5	0.00	14.76	2026-05-15 15:12:26.650
cama_mesa_banho	2989	10002	1222794.60	3.82	8.24	27.85	2026-05-15 15:12:26.650
artigos_de_natal	64	129	12011.06	4	6.44	80.27	2026-05-15 15:12:26.650
construcao_ferramentas_jardim	84	204	30483.78	3.99	5.68	45.72	2026-05-15 15:12:26.650
pc_gamer	3	8	1679.52	2.89	0.00	7.75	2026-05-15 15:12:26.650
ferramentas_jardim	742	3557	577355.84	4.07	6.71	30.19	2026-05-15 15:12:26.650
market_place	103	282	33721.54	3.94	5.83	30.59	2026-05-15 15:12:26.650
casa_conforto	110	399	65736.73	3.76	9.85	20.72	2026-05-15 15:12:26.650
telefonia_fixa	116	217	64220.81	3.7	5.53	36.96	2026-05-15 15:12:26.650
automotivo	1877	3927	678374.67	4.01	7.84	33.77	2026-05-15 15:12:26.650
unknown	608	1448	205745.70	3.85	9.35	41.89	2026-05-15 15:12:26.650
moveis_escritorio	308	1297	341569.29	3.64	8.07	25.29	2026-05-15 15:12:26.650
beleza_saude	2413	8866	1416036.09	4.15	8.04	29.51	2026-05-15 15:12:26.650
fashion_roupa_infanto_juvenil	5	8	665.36	4.2	0.00	18.84	2026-05-15 15:12:26.650
eletroportateis	229	622	204491.36	4.07	4.58	23.78	2026-05-15 15:12:26.650
livros_tecnicos	120	254	22438.74	4.45	9.50	34.36	2026-05-15 15:12:26.650
livros_interesse_geral	214	517	52728.24	4.35	9.26	43.84	2026-05-15 15:12:26.650
artes_e_artesanato	18	23	2149.92	4.38	2.22	40.69	2026-05-15 15:12:26.650
eletrodomesticos_2	89	229	121007.02	3.96	8.45	18.63	2026-05-15 15:12:26.650
dvds_blu_ray	48	62	7288.13	4.05	5.63	89.50	2026-05-15 15:12:26.650
fashion_calcados	173	259	28481.64	4.17	5.31	28.88	2026-05-15 15:12:26.650
pet_shop	709	1744	249188.02	4.14	5.61	32.20	2026-05-15 15:12:26.650
livros_importados	29	57	5240.98	4.25	3.94	22.72	2026-05-15 15:12:26.650
casa_construcao	223	491	95486.43	3.93	7.17	25.22	2026-05-15 15:12:26.650
artigos_de_festas	26	39	5313.15	4	0.96	32.83	2026-05-15 15:12:26.650
fashion_roupa_feminina	27	40	3425.39	3.52	7.41	27.01	2026-05-15 15:12:26.650
casa_conforto_2	5	24	1170.58	4.6	3.85	35.41	2026-05-15 15:12:26.650
alimentos_bebidas	104	232	19577.40	4.33	7.04	52.35	2026-05-15 15:12:26.650
fashion_esporte	19	27	2697.64	4.36	7.89	25.70	2026-05-15 15:12:26.650
artes	55	199	28010.76	4.11	0.69	45.22	2026-05-15 15:12:26.650
la_cuisine	10	13	2388.54	3.98	0.00	19.87	2026-05-15 15:12:26.650
industria_comercio_e_negocios	67	232	46095.96	4.12	8.49	22.16	2026-05-15 15:12:26.650
utilidades_domesticas	2301	5902	762887.04	4.06	7.04	40.72	2026-05-15 15:12:26.650
moveis_quarto	45	95	24661.01	4.03	11.79	34.59	2026-05-15 15:12:26.650
flores	14	29	1598.91	4.14	2.38	55.75	2026-05-15 15:12:26.650
bebes	907	2893	473315.03	3.93	8.25	29.91	2026-05-15 15:12:26.650
moveis_cozinha_area_de_servico_jantar_e_jardim	91	242	57534.16	3.84	5.39	32.04	2026-05-15 15:12:26.650
construcao_ferramentas_ferramentas	39	97	17934.17	4.26	7.07	41.24	2026-05-15 15:12:26.650
perfumaria	853	3194	446887.60	4.09	7.19	31.79	2026-05-15 15:12:26.650
brinquedos	1395	3922	553710.46	4.12	6.47	26.15	2026-05-15 15:12:26.650
eletronicos	515	2535	204717.06	4.05	8.06	54.31	2026-05-15 15:12:26.650
agro_industria_e_comercio	74	181	77899.85	3.81	4.20	24.80	2026-05-15 15:12:26.650
