cohort_month	retention_month	retained_customers	cohort_size	retention_rate	dwh_create_date
2017-03-01	2	10	2635	0.38	2026-05-14 09:36:55.620
2017-01-01	5	1	762	0.13	2026-05-14 09:36:55.620
2017-04-01	2	5	2328	0.21	2026-05-14 09:36:55.620
2017-05-01	1	18	3582	0.50	2026-05-14 09:36:55.620
2017-07-01	0	3864	3864	100.00	2026-05-14 09:36:55.620
2018-04-01	4	9	6328	0.14	2026-05-14 09:36:55.620
2018-05-01	3	14	6562	0.21	2026-05-14 09:36:55.620
2017-06-01	1	14	3134	0.45	2026-05-14 09:36:55.620
2017-10-01	8	11	4472	0.25	2026-05-14 09:36:55.620
2017-09-01	9	7	4116	0.17	2026-05-14 09:36:55.620
2017-11-01	8	8	7305	0.11	2026-05-14 09:36:55.620
2016-10-01	20	1	317	0.32	2026-05-14 09:36:55.620
2017-12-01	7	3	5483	0.05	2026-05-14 09:36:55.620
2018-03-01	4	8	6964	0.11	2026-05-14 09:36:55.620
2017-03-01	16	2	2635	0.08	2026-05-14 09:36:55.620
2017-04-01	5	6	2328	0.26	2026-05-14 09:36:55.620
2017-09-01	6	9	4116	0.22	2026-05-14 09:36:55.620
2017-08-01	3	11	4182	0.26	2026-05-14 09:36:55.620
2017-02-01	14	2	1737	0.12	2026-05-14 09:36:55.620
2017-07-01	3	9	3864	0.23	2026-05-14 09:36:55.620
2016-10-01	6	1	317	0.32	2026-05-14 09:36:55.620
2017-06-01	7	7	3134	0.22	2026-05-14 09:36:55.620
2017-02-01	11	5	1737	0.29	2026-05-14 09:36:55.620
2017-08-01	6	12	4182	0.29	2026-05-14 09:36:55.620
2017-01-01	11	1	762	0.13	2026-05-14 09:36:55.620
2017-05-01	4	11	3582	0.31	2026-05-14 09:36:55.620
2017-10-01	5	9	4472	0.20	2026-05-14 09:36:55.620
2017-08-01	9	6	4182	0.14	2026-05-14 09:36:55.620
2018-03-01	1	32	6964	0.46	2026-05-14 09:36:55.620
2016-10-01	0	317	317	100.00	2026-05-14 09:36:55.620
2017-01-01	8	1	762	0.13	2026-05-14 09:36:55.620
2017-02-01	8	2	1737	0.12	2026-05-14 09:36:55.620
2017-06-01	4	8	3134	0.26	2026-05-14 09:36:55.620
2017-08-01	12	3	4182	0.07	2026-05-14 09:36:55.620
2016-10-01	9	1	317	0.32	2026-05-14 09:36:55.620
2017-07-01	12	4	3864	0.10	2026-05-14 09:36:55.620
2017-06-01	13	4	3134	0.13	2026-05-14 09:36:55.620
2017-11-01	0	7305	7305	100.00	2026-05-14 09:36:55.620
