customer_sk	lifetime_orders	lifetime_value	avg_order_value	avg_review_score	avg_delivery_days	favorite_category	rfm_segment	customer_segment	created_at
1	1	141.90	141.90	5	6	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
2	1	27.19	27.19	4	3	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
3	1	86.22	86.22	3	26	papelaria	REGULAR	NEW	2026-05-15 15:13:42.783
4	1	43.62	43.62	4	20	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
5	1	196.89	196.89	5	13	telefonia	CHAMPIONS	NEW	2026-05-15 15:13:42.783
6	1	166.98	166.98	4	2	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
7	1	35.38	35.38	4	7	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
8	1	419.18	419.18	1	16	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
9	1	150.12	150.12	4	5	fashion_bolsas_e_acessorios	CHAMPIONS	NEW	2026-05-15 15:13:42.783
10	1	129.76	129.76	1	54	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
11	1	29.00	29.00	3	16	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
12	1	126.26	126.26	5	10	malas_acessorios	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
13	1	63.66	63.66	5	16	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
14	1	91.28	91.28	4	11	beleza_saude	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
15	1	46.85	46.85	4.5	14	fashion_bolsas_e_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
16	1	29.00	29.00	5	15	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
17	1	36.68	36.68	5	4	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
18	1	257.44	257.44	2	4	cama_mesa_banho	CHAMPIONS	NEW	2026-05-15 15:13:42.783
19	1	78.42	78.42	3	14	fashion_underwear_e_moda_praia	REGULAR	NEW	2026-05-15 15:13:42.783
20	1	27.75	27.75	5	6	eletrodomesticos	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
21	1	20.75	20.75	5	2	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
22	1	362.38	362.38	5	8	brinquedos	REGULAR	NEW	2026-05-15 15:13:42.783
23	1	325.93	325.93	1	15	casa_conforto	CHAMPIONS	NEW	2026-05-15 15:13:42.783
24	1	61.80	61.80	4	23	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
25	1	212.16	212.16	4	8	utilidades_domesticas	CHAMPIONS	NEW	2026-05-15 15:13:42.783
26	1	76.11	76.11	4	11	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
27	1	297.14	297.14	3	18	informatica_acessorios	CHAMPIONS	NEW	2026-05-15 15:13:42.783
28	1	192.83	192.83	5	8	malas_acessorios	CHAMPIONS	NEW	2026-05-15 15:13:42.783
29	1	117.94	117.94	5	11	eletroportateis	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
30	1	155.65	155.65	1	7	relogios_presentes	CHAMPIONS	NEW	2026-05-15 15:13:42.783
31	1	99.82	99.82	5	8	beleza_saude	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
32	1	74.82	74.82	5	4	malas_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
33	2	244.14	122.07	4	10	papelaria	AT_RISK	REGULAR	2026-05-15 15:13:42.783
34	1	58.86	58.86	3	15	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
35	1	91.21	91.21	4	8	eletronicos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
36	1	164.81	164.81	2	6	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
37	1	37.58	37.58	5	16	informatica_acessorios	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
38	1	27.00	27.00	3	28	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
39	1	87.71	87.71	1	5	utilidades_domesticas	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
40	1	197.27	197.27	5	17	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
41	1	36.73	36.73	4	4	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
42	1	161.71	161.71	5	2	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
43	1	24.23	24.23	5	17	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
44	1	116.23	116.23	0	NULL	pet_shop	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
45	1	135.08	135.08	5	31	ferramentas_jardim	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
46	1	63.33	63.33	4	11	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
47	1	35.84	35.84	3	11	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
48	1	237.81	237.81	4	24	moveis_escritorio	CHAMPIONS	NEW	2026-05-15 15:13:42.783
49	1	107.44	107.44	3	21	automotivo	REGULAR	NEW	2026-05-15 15:13:42.783
