customer_sk	recency_days	frequency_orders	monetary_value	r_score	f_score	m_score	rfm_score	rfm_segment	dwh_create_date
55683	2809	1	0.00	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
29550	2815	1	0.00	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
48575	3527	1	0.00	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
18385	2818	1	9.59	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
70018	3164	1	10.07	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
66402	2883	1	10.89	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
41267	3175	1	11.63	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
15033	3118	1	11.63	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
47675	3273	1	12.28	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
44563	2904	1	12.39	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
60294	2912	1	12.89	2	1	1	211	REGULAR	2026-05-13 20:55:29.630
82624	3257	1	12.89	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
23404	2913	1	13.29	2	1	1	211	REGULAR	2026-05-13 20:55:29.630
2290	2974	1	13.36	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
4978	2831	1	13.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
70577	2911	1	13.39	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
24454	2928	1	13.39	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
84789	3097	1	13.68	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
73294	3283	1	13.68	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
51802	3086	1	13.78	4	3	1	431	REGULAR	2026-05-13 20:55:29.630
12913	3092	1	13.78	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
86885	3185	1	13.78	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
55252	3188	1	13.78	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
85375	3061	1	13.78	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
60086	2973	1	13.87	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
85907	2834	1	13.89	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
37647	2852	1	14.06	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
48358	3053	1	14.08	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
15844	3183	1	14.13	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
71245	2837	1	14.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
12615	2814	1	14.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
34763	2897	1	14.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
44183	2873	1	14.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
32033	2870	1	14.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
85222	2920	1	14.38	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
15582	2965	1	14.39	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
47511	3344	1	14.62	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
84671	3047	1	14.65	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
81730	3080	1	14.67	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
12581	3124	1	14.67	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
70766	3349	1	14.72	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
2342	3282	1	14.78	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
87517	3234	1	14.78	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
27572	3147	1	14.78	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
22115	3043	1	14.78	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
76720	3022	1	14.84	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
23939	3394	1	14.86	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
74904	2815	1	14.89	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
84273	2969	1	14.92	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
70404	2983	1	14.92	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
58343	2942	1	15.18	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
61968	3346	1	15.22	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
10076	3388	1	15.29	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
83340	3187	1	15.37	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
76916	2932	1	15.38	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
2075	2831	1	15.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
63911	2829	1	15.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
48961	2852	1	15.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
46514	2850	1	15.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
41438	2838	1	15.38	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
65566	3151	1	15.57	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
1600	3393	1	15.71	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
8317	3107	1	15.75	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
71048	2930	1	15.77	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
93246	3102	1	15.78	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
28484	3177	1	15.84	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
69560	2838	1	15.84	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
7769	2866	1	15.86	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
66268	3318	1	15.86	5	5	1	551	REGULAR	2026-05-13 20:55:29.630
13305	2822	1	15.89	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
25881	3013	1	16.01	3	3	1	331	REGULAR	2026-05-13 20:55:29.630
90858	3116	1	16.05	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
70251	2899	1	16.09	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
81686	2895	1	16.09	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
685	3128	1	16.22	4	4	1	441	REGULAR	2026-05-13 20:55:29.630
34689	2894	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
13301	2910	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
84738	2908	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
69749	2879	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
62130	2820	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
64919	2844	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
57015	2910	1	16.29	1	1	1	111	LOST_CUSTOMERS	2026-05-13 20:55:29.630
80573	2939	1	16.29	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
46773	2987	1	16.29	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
4289	2962	1	16.29	2	2	1	221	REGULAR	2026-05-13 20:55:29.630
