seller_sk	total_orders	delivered_orders	delayed_orders	avg_delivery_days	avg_estimated_gap_days	delay_rate	avg_freight_value	avg_review_score	delivery_segment	dwh_create_date
1589	179	195	9	10.18	-10.89	4.46	17.80	3.92	GOOD_DELIVERY	2026-05-15 09:48:36.073
2585	1	1	0	11	-23	0.00	37.40	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2917	2	2	0	18	-7.5	0.00	41.48	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2253	11	10	1	11.4	-10.6	9.09	29.94	4.18	GOOD_DELIVERY	2026-05-15 09:48:36.073
1921	1	1	1	23	6	100.00	37.71	2	DELIVERY_RISK	2026-05-15 09:48:36.073
902	1	1	0	11	-7	0.00	27.07	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1898	17	17	3	16.47	-13.41	17.65	26.47	3.88	REGULAR	2026-05-15 09:48:36.073
355	13	14	0	15.71	-15.5	0.00	21.57	3.6	GOOD_DELIVERY	2026-05-15 09:48:36.073
687	3	5	1	16.2	-20.8	16.67	12.51	4.17	REGULAR	2026-05-15 09:48:36.073
1234	2	4	0	6	-7	0.00	12.91	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2230	2	2	0	6.5	-27.5	0.00	20.25	5	FAST_RELIABLE	2026-05-15 09:48:36.073
23	5	5	0	6.6	-17	0.00	13.54	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2894	5	5	0	10.2	-17	0.00	16.79	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
1566	2	1	0	14	-10	0.00	13.92	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2562	1	1	0	13	-11	0.00	10.96	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1875	66	67	7	15.03	-8.78	10.00	16.22	3.9	GOOD_DELIVERY	2026-05-15 09:48:36.073
1543	54	87	5	8.94	-12.51	5.62	16.64	4.26	GOOD_DELIVERY	2026-05-15 09:48:36.073
1374	57	76	2	10.51	-13.03	2.63	15.35	4.58	FAST_RELIABLE	2026-05-15 09:48:36.073
378	20	25	1	11.92	-14.4	4.00	23.25	4.28	FAST_RELIABLE	2026-05-15 09:48:36.073
547	23	27	2	9.74	-14.07	7.41	18.23	4.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
2207	7	11	0	13.18	-14.82	0.00	20.16	2.91	GOOD_DELIVERY	2026-05-15 09:48:36.073
2539	1	1	1	30	8	100.00	16.41	1	DELIVERY_RISK	2026-05-15 09:48:36.073
46	13	13	4	17.46	-3.92	30.77	49.43	3.92	DELIVERY_RISK	2026-05-15 09:48:36.073
1042	13	13	0	14.38	-15.62	0.00	23.34	2.93	GOOD_DELIVERY	2026-05-15 09:48:36.073
710	10	9	0	12.78	-21.33	0.00	25.41	4	FAST_RELIABLE	2026-05-15 09:48:36.073
879	2	3	0	9.67	-11.33	0.00	26.21	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
215	14	15	1	12.87	-13.53	6.25	23.33	4.75	GOOD_DELIVERY	2026-05-15 09:48:36.073
1211	1	1	0	12	-26	0.00	53.29	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1188	15	16	2	13	-9.88	12.50	52.03	3.88	REGULAR	2026-05-15 09:48:36.073
1729	24	24	2	16.88	-10.71	7.69	20.22	4.15	GOOD_DELIVERY	2026-05-15 09:48:36.073
