customer_sk	customer_unique_id	customer_city	customer_state	first_order_date	last_order_date	lifetime_orders	lifetime_value	avg_order_value	is_repeat_customer	customer_segment	dwh_create_date
1	0000366f3b9a7992bf8c76cfdf3221e2	cajamar	SP	2018-05-10	2018-05-10	1	141.90	141.90	0	NEW	2026-05-13 10:04:56.520
2	0000b849f77a49e4a4ce2b2a4ca5be3f	osasco	SP	2018-05-07	2018-05-07	1	27.19	27.19	0	NEW	2026-05-13 10:04:56.520
3	0000f46a3911fa3c0805444483337064	sao jose	SC	2017-03-10	2017-03-10	1	86.22	86.22	0	NEW	2026-05-13 10:04:56.520
4	0000f6ccb0745a6a4b88665a16c9f078	belem	PA	2017-10-12	2017-10-12	1	43.62	43.62	0	NEW	2026-05-13 10:04:56.520
5	0004aac84e0df4da2b147fca70cf8255	sorocaba	SP	2017-11-14	2017-11-14	1	196.89	196.89	0	NEW	2026-05-13 10:04:56.520
6	0004bd2a26a76fe21f786e4fbd80607f	sao paulo	SP	2018-04-05	2018-04-05	1	166.98	166.98	0	NEW	2026-05-13 10:04:56.520
7	00050ab1314c0e55a6ca13cf7181fecf	campinas	SP	2018-04-20	2018-04-20	1	35.38	35.38	0	NEW	2026-05-13 10:04:56.520
8	00053a61a98854899e70ed204dd4bafe	curitiba	PR	2018-02-28	2018-02-28	1	419.18	419.18	0	NEW	2026-05-13 10:04:56.520
9	0005e1862207bf6ccc02e4228effd9a0	teresopolis	RJ	2017-03-04	2017-03-04	1	150.12	150.12	0	NEW	2026-05-13 10:04:56.520
10	0005ef4cd20d2893f0d9fbd94d3c0d97	sao luis	MA	2018-03-12	2018-03-12	1	129.76	129.76	0	NEW	2026-05-13 10:04:56.520
11	0006fdc98a402fceb4eb0ee528f6a8d4	mimoso do sul	ES	2017-07-18	2017-07-18	1	29.00	29.00	0	NEW	2026-05-13 10:04:56.520
12	00082cbe03e478190aadbea78542e933	itapeva	SP	2017-11-19	2017-11-19	1	126.26	126.26	0	NEW	2026-05-13 10:04:56.520
13	00090324bbad0e9342388303bb71ba0a	campinas	SP	2018-03-24	2018-03-24	1	63.66	63.66	0	NEW	2026-05-13 10:04:56.520
14	000a5ad9c4601d2bbdd9ed765d5213b3	porto alegre	RS	2017-08-11	2017-08-11	1	91.28	91.28	0	NEW	2026-05-13 10:04:56.520
15	000bfa1d2f1a41876493be685390d6d3	santos	SP	2017-09-29	2017-09-29	1	46.85	46.85	0	NEW	2026-05-13 10:04:56.520
16	000c8bdb58a29e7115cfc257230fb21b	belo horizonte	MG	2017-12-12	2017-12-12	1	29.00	29.00	0	NEW	2026-05-13 10:04:56.520
17	000d460961d6dbfa3ec6c9f5805769e1	sao paulo	SP	2018-01-07	2018-01-07	1	36.68	36.68	0	NEW	2026-05-13 10:04:56.520
18	000de6019bb59f34c099a907c151d855	sao sebastiao	SP	2017-08-17	2017-08-17	1	257.44	257.44	0	NEW	2026-05-13 10:04:56.520
19	000e309254ab1fc5ba99dd469d36bdb4	valparaiso de goias	GO	2018-06-25	2018-06-25	1	78.42	78.42	0	NEW	2026-05-13 10:04:56.520
20	000ec5bff359e1c0ad76a81a45cb598f	salto de pirapora	SP	2018-08-21	2018-08-21	1	27.75	27.75	0	NEW	2026-05-13 10:04:56.520
21	000ed48ceeb6f4bf8ad021a10a3c7b43	sao paulo	SP	2018-05-20	2018-05-20	1	20.75	20.75	0	NEW	2026-05-13 10:04:56.520
22	000fbf0473c10fc1ab6f8d2d286ce20c	indaiatuba	SP	2018-07-26	2018-07-26	1	362.38	362.38	0	NEW	2026-05-13 10:04:56.520
23	0010a452c6d13139e50b57f19f52e04e	taquara	RS	2017-07-11	2017-07-11	1	325.93	325.93	0	NEW	2026-05-13 10:04:56.520
24	0010fb34b966d44409382af9e8fd5b77	sao paulo	SP	2018-03-05	2018-03-05	1	61.80	61.80	0	NEW	2026-05-13 10:04:56.520
