date_sk	full_date	year_num	quarter_num	month_num	month_name	day_num	day_name	week_num	is_weekend	dwh_create_date
20160101	2016-01-01	2016	1	1	01	1	금요일	1	0	2026-05-13 10:16:29.780
20160102	2016-01-02	2016	1	1	01	2	토요일	1	0	2026-05-13 10:16:29.780
20160103	2016-01-03	2016	1	1	01	3	일요일	2	0	2026-05-13 10:16:29.780
20160104	2016-01-04	2016	1	1	01	4	월요일	2	0	2026-05-13 10:16:29.780
20160105	2016-01-05	2016	1	1	01	5	화요일	2	0	2026-05-13 10:16:29.780
20160106	2016-01-06	2016	1	1	01	6	수요일	2	0	2026-05-13 10:16:29.780
20160107	2016-01-07	2016	1	1	01	7	목요일	2	0	2026-05-13 10:16:29.780
20160108	2016-01-08	2016	1	1	01	8	금요일	2	0	2026-05-13 10:16:29.780
20160109	2016-01-09	2016	1	1	01	9	토요일	2	0	2026-05-13 10:16:29.780
20160110	2016-01-10	2016	1	1	01	10	일요일	3	0	2026-05-13 10:16:29.780
20160111	2016-01-11	2016	1	1	01	11	월요일	3	0	2026-05-13 10:16:29.780
20160112	2016-01-12	2016	1	1	01	12	화요일	3	0	2026-05-13 10:16:29.780
20160113	2016-01-13	2016	1	1	01	13	수요일	3	0	2026-05-13 10:16:29.780
20160114	2016-01-14	2016	1	1	01	14	목요일	3	0	2026-05-13 10:16:29.780
20160115	2016-01-15	2016	1	1	01	15	금요일	3	0	2026-05-13 10:16:29.780
20160116	2016-01-16	2016	1	1	01	16	토요일	3	0	2026-05-13 10:16:29.780
20160117	2016-01-17	2016	1	1	01	17	일요일	4	0	2026-05-13 10:16:29.780
20160118	2016-01-18	2016	1	1	01	18	월요일	4	0	2026-05-13 10:16:29.780
20160119	2016-01-19	2016	1	1	01	19	화요일	4	0	2026-05-13 10:16:29.780
20160120	2016-01-20	2016	1	1	01	20	수요일	4	0	2026-05-13 10:16:29.780
20160121	2016-01-21	2016	1	1	01	21	목요일	4	0	2026-05-13 10:16:29.780
20160122	2016-01-22	2016	1	1	01	22	금요일	4	0	2026-05-13 10:16:29.780
20160123	2016-01-23	2016	1	1	01	23	토요일	4	0	2026-05-13 10:16:29.780
20160124	2016-01-24	2016	1	1	01	24	일요일	5	0	2026-05-13 10:16:29.780
20160125	2016-01-25	2016	1	1	01	25	월요일	5	0	2026-05-13 10:16:29.780
20160126	2016-01-26	2016	1	1	01	26	화요일	5	0	2026-05-13 10:16:29.780
20160127	2016-01-27	2016	1	1	01	27	수요일	5	0	2026-05-13 10:16:29.780
20160128	2016-01-28	2016	1	1	01	28	목요일	5	0	2026-05-13 10:16:29.780
20160129	2016-01-29	2016	1	1	01	29	금요일	5	0	2026-05-13 10:16:29.780
20160130	2016-01-30	2016	1	1	01	30	토요일	5	0	2026-05-13 10:16:29.780
20160131	2016-01-31	2016	1	1	01	31	일요일	6	0	2026-05-13 10:16:29.780
20160201	2016-02-01	2016	1	2	02	1	월요일	6	0	2026-05-13 10:16:29.780
20160202	2016-02-02	2016	1	2	02	2	화요일	6	0	2026-05-13 10:16:29.780
20160203	2016-02-03	2016	1	2	02	3	수요일	6	0	2026-05-13 10:16:29.780
20160204	2016-02-04	2016	1	2	02	4	목요일	6	0	2026-05-13 10:16:29.780
20160205	2016-02-05	2016	1	2	02	5	금요일	6	0	2026-05-13 10:16:29.780
20160206	2016-02-06	2016	1	2	02	6	토요일	6	0	2026-05-13 10:16:29.780
20160207	2016-02-07	2016	1	2	02	7	일요일	7	0	2026-05-13 10:16:29.780
20160208	2016-02-08	2016	1	2	02	8	월요일	7	0	2026-05-13 10:16:29.780
20160209	2016-02-09	2016	1	2	02	9	화요일	7	0	2026-05-13 10:16:29.780
20160210	2016-02-10	2016	1	2	02	10	수요일	7	0	2026-05-13 10:16:29.780
20160211	2016-02-11	2016	1	2	02	11	목요일	7	0	2026-05-13 10:16:29.780
20160212	2016-02-12	2016	1	2	02	12	금요일	7	0	2026-05-13 10:16:29.780
