seller_sk	seller_id	seller_zip_code_prefix	seller_city	seller_state	first_sale_date	last_sale_date	total_orders	total_items_sold	total_sales_amount	avg_item_price	is_top_seller	dwh_create_date
1	0015a82c2db000af6aaaf3ae2ecb0532	9080	santo andre	SP	2017-09-26	2017-10-18	3	3	2685.00	895.00	0	2026-05-13 13:24:56.700
2	001cca7ae9ae17fb1caed9dfb1094831	29156	cariacica	ES	2017-02-04	2018-07-12	200	239	25080.03	104.94	0	2026-05-13 13:24:56.700
3	001e6ad469a905060d959994f1b41e4f	24754	sao goncalo	RJ	2018-08-07	2018-08-07	1	1	250.00	250.00	0	2026-05-13 13:24:56.700
4	002100f778ceb8431b7a1020ff7ab48f	14405	franca	SP	2017-09-14	2018-04-12	51	55	1234.50	22.45	0	2026-05-13 13:24:56.700
5	003554e2dce176b5555353e4f3555ac8	74565	goiania	GO	2017-12-15	2017-12-15	1	1	120.00	120.00	0	2026-05-13 13:24:56.700
6	004c9cd9d87a3c30c522c48c4fc07416	14940	ibitinga	SP	2017-01-27	2018-05-03	158	170	19712.71	115.96	0	2026-05-13 13:24:56.700
7	00720abe85ba0859807595bbf045a33b	7070	guarulhos	SP	2018-01-27	2018-08-03	13	26	1007.50	38.75	0	2026-05-13 13:24:56.700
8	00ab3eff1b5192e5f1a63bcecfee11c8	4164	sao paulo	SP	2017-03-18	2017-03-18	1	1	98.00	98.00	0	2026-05-13 13:24:56.700
9	00d8b143d12632bad99c0ad66ad52825	30170	belo horizonte	MG	2018-03-21	2018-03-21	1	1	86.00	86.00	0	2026-05-13 13:24:56.700
10	00ee68308b45bc5e2660cd833c3f81cc	3333	sao paulo	SP	2017-09-19	2018-07-30	135	172	20260.00	117.79	0	2026-05-13 13:24:56.700
11	00fc707aaaad2d31347cf883cd2dfe10	87025	maringa	PR	2018-01-31	2018-06-13	103	135	12684.90	93.96	0	2026-05-13 13:24:56.700
12	010543a62bd80aa422851e79a3bc7540	1212	sao paulo	SP	2017-07-04	2017-08-02	2	2	1416.00	708.00	0	2026-05-13 13:24:56.700
13	010da0602d7774602cd1b3f5fb7b709e	9710	sao bernardo do campo	SP	2018-06-06	2018-06-06	1	5	849.50	169.90	0	2026-05-13 13:24:56.700
14	011b0eaba87386a2ae96a7d32bb531d1	17580	pompeia	SP	2016-10-06	2016-10-06	1	2	99.98	49.99	0	2026-05-13 13:24:56.700
15	01266d4c46afa519678d16a8b683d325	80250	curitiba	PR	2018-08-02	2018-08-20	3	3	90.25	30.08	0	2026-05-13 13:24:56.700
16	013900e863eace745d3ec7614cab5b1a	80740	curitiba	PR	2017-03-04	2018-04-13	23	26	1619.70	62.30	0	2026-05-13 13:24:56.700
17	014c0679dd340a0e338872e7ec85666a	35180	timoteo	MG	2017-01-26	2018-07-04	14	15	7058.00	470.53	0	2026-05-13 13:24:56.700
18	014d9a685fd57276679edd00e07089e5	87015	maringa	PR	2017-11-21	2018-08-17	11	12	729.88	60.82	0	2026-05-13 13:24:56.700
19	0176f73cc1195f367f7b32db1e5b3aa8	14940	ibitinga	SP	2017-11-16	2018-08-13	38	39	4733.10	121.36	0	2026-05-13 13:24:56.700
20	01bcc9d254a0143f0ce9791b960b2a47	76400	uruacu	GO	2017-08-12	2018-02-02	11	11	1521.21	138.29	0	2026-05-13 13:24:56.700
21	01c97ebb5cdac52891c0ed1c37ba0012	15804	catanduva	SP	2017-04-13	2018-07-31	9	12	577.50	48.12	0	2026-05-13 13:24:56.700
22	01cf7e3d21494c41fb86034f2e714fa1	85603	francisco beltrao	PR	2016-10-06	2018-02-26	61	67	9729.36	145.21	0	2026-05-13 13:24:56.700
23	01ed254b9ff8407dfb9d99ba1e17d923	8710	mogi das cruzes	SP	2017-08-04	2017-11-08	5	5	1465.99	293.20	0	2026-05-13 13:24:56.700
24	01fd077212124329bac32490e8ef80d9	14079	ribeirao preto / sao paulo	SP	2018-04-16	2018-08-24	31	39	1208.00	30.97	0	2026-05-13 13:24:56.700
25	01fdefa7697d26ad920e9e0346d4bd1b	86050	londrina	PR	2017-04-26	2018-08-20	129	131	14921.43	113.90	0	2026-05-13 13:24:56.700
26	0241d4d5d36f10f80c644447315af0bd	80330	curitiba	PR	2017-10-08	2018-08-28	238	246	31397.70	127.63	0	2026-05-13 13:24:56.700
27	0249d282d911d23cb8b869ab49c99f53	5676	sao paulo	SP	2017-09-18	2018-03-22	11	11	393.00	35.73	0	2026-05-13 13:24:56.700
28	024b564ae893ce8e9bfa02c10a401ece	3280	sao paulo	SP	2016-10-05	2017-02-12	2	8	706.40	88.30	0	2026-05-13 13:24:56.700
29	028872bfa080090a9d0abd4f1af168f8	33940	ribeirao das neves	MG	2017-08-19	2017-08-19	1	3	70.50	23.50	0	2026-05-13 13:24:56.700
30	02a2272692e13558373c66db98f05e2e	20040	rio de janeiro	RJ	2017-02-06	2017-03-08	2	2	54.98	27.49	0	2026-05-13 13:24:56.700
31	02b72cdeb9cfcc429f1af6f4e3f3b737	14940	ibitinga	SP	2018-07-25	2018-08-22	4	4	522.65	130.66	0	2026-05-13 13:24:56.700
32	02c988090b766852e088c69d7fb3b551	13473	americana	SP	2017-07-16	2018-08-15	13	17	1618.65	95.21	0	2026-05-13 13:24:56.700
