date_sk	full_date	total_orders	total_customers	repeat_customers	total_gmv	avg_order_value	avg_review_score	delay_rate	dwh_create_date
20170316	2017-03-16	100	100	5	16467.91	164.68	4.13	9.00	2026-05-15 13:57:41.810
20171003	2017-10-03	193	190	16	29647.50	153.61	4.19689119170984	3.11	2026-05-15 13:57:41.810
20180821	2018-08-21	237	237	8	30696.60	129.52	4.44725738396625	7.17	2026-05-15 13:57:41.810
20171026	2017-10-26	140	139	12	24937.53	178.13	4.12142857142857	5.71	2026-05-15 13:57:41.810
20170811	2017-08-11	133	130	7	22067.71	165.92	4.3796992481203	2.26	2026-05-15 13:57:41.810
20180303	2018-03-03	205	199	13	30780.47	150.15	3.67560975609756	31.22	2026-05-15 13:57:41.810
20171126	2017-11-26	382	377	19	52164.38	136.56	3.81675392670157	20.42	2026-05-15 13:57:41.810
20170124	2017-01-24	38	38	2	5954.18	156.69	4.44736842105263	0.00	2026-05-15 13:57:41.810
20171103	2017-11-03	138	137	12	26036.08	188.67	4.14492753623188	5.07	2026-05-15 13:57:41.810
20180326	2018-03-26	266	265	15	41107.03	154.54	4.10526315789474	13.53	2026-05-15 13:57:41.810
20180203	2018-02-03	189	188	9	26742.03	141.49	4.1957671957672	3.70	2026-05-15 13:57:41.810
20170416	2017-04-16	47	47	1	6063.82	129.02	4.12765957446809	10.64	2026-05-15 13:57:41.810
20180721	2018-07-21	170	167	12	24062.78	141.55	4.46470588235294	2.94	2026-05-15 13:57:41.810
20180827	2018-08-27	66	66	3	6111.60	92.60	4.40909090909091	9.09	2026-05-15 13:57:41.810
20170608	2017-06-08	134	131	9	21919.44	163.58	4.23134328358209	2.24	2026-05-15 13:57:41.810
20170402	2017-04-02	64	63	4	10452.22	163.32	4.53125	1.56	2026-05-15 13:57:41.810
20170107	2017-01-07	4	4	0	1447.99	362.00	3	25.00	2026-05-15 13:57:41.810
20170502	2017-05-02	122	122	6	19905.71	163.16	4.15573770491803	4.92	2026-05-15 13:57:41.810
20161010	2016-10-10	34	33	1	3896.73	114.61	3.94117647058824	2.94	2026-05-15 13:57:41.810
20180217	2018-02-17	198	196	14	29049.53	146.71	3.83838383838384	14.65	2026-05-15 13:57:41.810
20171206	2017-12-06	269	265	14	44917.89	166.98	3.9814126394052	12.27	2026-05-15 13:57:41.810
20170708	2017-07-08	83	82	3	11897.07	143.34	4.43373493975904	0.00	2026-05-15 13:57:41.810
20170210	2017-02-10	62	62	3	14165.80	228.48	4.25806451612903	3.23	2026-05-15 13:57:41.810
20180429	2018-04-29	168	168	6	22756.58	135.46	4.05952380952381	5.95	2026-05-15 13:57:41.810
20170422	2017-04-22	82	82	5	14760.97	180.01	4.03658536585366	6.10	2026-05-15 13:57:41.810
20171106	2017-11-06	182	182	13	32103.93	176.40	4.12087912087912	6.59	2026-05-15 13:57:41.810
20180223	2018-02-23	232	224	14	32866.43	141.67	3.7801724137931	21.12	2026-05-15 13:57:41.810
20171212	2017-12-12	251	249	14	37772.83	150.49	3.97211155378486	9.96	2026-05-15 13:57:41.810
20170714	2017-07-14	148	146	11	21665.78	146.39	4.15540540540541	0.68	2026-05-15 13:57:41.810
20170522	2017-05-22	145	142	9	27312.02	188.36	4.24137931034483	2.07	2026-05-15 13:57:41.810
20180615	2018-06-15	178	177	7	30515.49	171.44	4.30898876404494	1.12	2026-05-15 13:57:41.810
