order_item_sk	order_id	order_item_id	order_sk	customer_sk	product_sk	seller_sk	purchase_date_sk	shipping_limit_date_sk	item_price	freight_value	total_item_value	is_freight_free	high_value_item_flag	dwh_create_date
1	00010242fe8c5a6d1ba2dd792cb16214	1	1	50000	8629	855	20170913	20170919	58.90	13.29	72.19	0	0	2026-05-13 13:55:12.650
2	00018f77f2f0320c557190d7a144bdd3	1	2	87113	29598	2679	20170426	20170503	239.90	19.93	259.83	0	0	2026-05-13 13:55:12.650
3	000229ec398224ef6ca0657da4fc703e	1	3	20857	25668	1118	20180114	20180118	199.00	17.87	216.87	0	0	2026-05-13 13:55:12.650
4	00024acbcdf0a6daa1e931b038114c75	1	4	65065	15323	1920	20180808	20180815	12.99	12.79	25.78	0	0	2026-05-13 13:55:12.650
5	00042b26cf59d7ce69dfabb4e55b4fd9	1	5	37348	22080	2698	20170204	20170213	199.90	18.14	218.04	0	0	2026-05-13 13:55:12.650
6	00048cc3ae777c65dbb7d2a0634bc1ea	1	6	49540	30848	1224	20170515	20170523	21.90	12.69	34.59	0	0	2026-05-13 13:55:12.650
7	00054e8431b9d7675808bcb819fb4a32	1	7	36877	18182	1372	20171210	20171214	19.90	11.85	31.75	0	0	2026-05-13 13:55:12.650
8	0005a1a1728c9d785b8e2b08b904576c	1	8	36968	6385	1997	20180319	20180326	145.95	11.65	157.60	0	0	2026-05-13 13:55:12.650
9	0005f50442cb953dcd1d21e1fb923495	1	9	2807	9013	2231	20180702	20180706	53.99	11.40	65.39	0	0	2026-05-13 13:55:12.650
10	00061f2a7bc09da83e415a52dc8a4af1	1	10	6163	27628	2482	20180324	20180329	59.99	8.88	68.87	0	0	2026-05-13 13:55:12.650
11	00063b381e2406b52ad429470734ebd5	1	11	23695	31102	1644	20180727	20180731	45.00	12.98	57.98	0	0	2026-05-13 13:55:12.650
12	0006ec9db01a64e59a68b2c340bf65a7	1	12	47003	19743	882	20180724	20180726	74.00	23.32	97.32	0	0	2026-05-13 13:55:12.650
13	0008288aa423d2a3f00fcb17cd7d8719	1	13	58591	7080	369	20180213	20180221	49.90	13.37	63.27	0	0	2026-05-13 13:55:12.650
14	0008288aa423d2a3f00fcb17cd7d8719	2	13	58591	7080	369	20180213	20180221	49.90	13.37	63.27	0	0	2026-05-13 13:55:12.650
15	0009792311464db532ff765bf7b182ae	1	14	27286	18083	1013	20180814	20180817	99.90	27.65	127.55	0	0	2026-05-13 13:55:12.650
16	0009c9a17f916a706d71784483a5d643	1	15	35805	8238	3050	20180425	20180502	639.00	11.34	650.34	0	1	2026-05-13 13:55:12.650
17	000aed2e25dbad2f9ddb70584c5a2ded	1	16	37213	10354	3065	20180511	20180516	144.00	8.77	152.77	0	0	2026-05-13 13:55:12.650
18	000c3e6612759851cc3cbb4b83257986	1	17	91078	23217	402	20170812	20170821	99.00	13.71	112.71	0	0	2026-05-13 13:55:12.650
19	000e562887b1f2006d75e0be9558292e	1	18	66247	12287	1728	20180222	20180228	25.00	16.11	41.11	0	0	2026-05-13 13:55:12.650
20	000e63d38ae8c00bbcb5a30573b99628	1	19	49626	11081	326	20180323	20180329	47.90	8.88	56.78	0	0	2026-05-13 13:55:12.650
21	000e906b789b55f64edcb1f84030f90d	1	20	19892	11395	2837	20171121	20171127	21.99	11.85	33.84	0	0	2026-05-13 13:55:12.650
22	000f25f4d72195062c040b12dce9a18a	1	21	9854	3716	1536	20180307	20180321	119.99	44.40	164.39	0	0	2026-05-13 13:55:12.650
23	001021efaa8636c29475e7734483457d	1	22	12503	12118	1236	20180227	20180305	49.00	15.10	64.10	0	0	2026-05-13 13:55:12.650
24	0010b2e5201cc5f1ae7e9c6cc8f5bd00	1	23	86120	11708	631	20170911	20170915	48.90	16.60	65.50	0	0	2026-05-13 13:55:12.650
25	00119ff934e539cf26f92b9ef0cdfed8	1	25	7427	4491	2431	20170806	20170811	219.90	16.98	236.88	0	0	2026-05-13 13:55:12.650
26	0011d82c4b53e22e84023405fb467e57	1	26	1058	25143	2310	20180116	20180129	289.00	26.33	315.33	0	0	2026-05-13 13:55:12.650
27	00125cb692d04887809806618a2a145f	1	27	45467	3719	785	20170323	20170329	109.90	25.51	135.41	0	0	2026-05-13 13:55:12.650
28	00130c0eee84a3d909e75bc08c5c3ca1	1	28	67261	17663	258	20180611	20180614	27.90	7.94	35.84	0	0	2026-05-13 13:55:12.650
29	0013503b13da1eac686219390b7d641b	1	29	7991	7375	247	20171205	20171213	119.90	17.32	137.22	0	0	2026-05-13 13:55:12.650
30	00137e170939bba5a3134e2386413108	1	30	21095	13335	2764	20171124	20171130	397.00	24.65	421.65	0	0	2026-05-13 13:55:12.650
31	001427c0ec99cf8af737bd88e92fd444	1	31	15902	5369	1468	20180407	20180412	59.90	23.35	83.25	0	0	2026-05-13 13:55:12.650
32	00143d0f86d6fbd9f9b38ab440ac16f5	1	32	69473	30035	1963	20171016	20171020	21.33	15.10	36.43	0	0	2026-05-13 13:55:12.650
33	00143d0f86d6fbd9f9b38ab440ac16f5	2	32	69473	30035	1963	20171016	20171020	21.33	15.10	36.43	0	0	2026-05-13 13:55:12.650
34	00143d0f86d6fbd9f9b38ab440ac16f5	3	32	69473	30035	1963	20171016	20171020	21.33	15.10	36.43	0	0	2026-05-13 13:55:12.650
35	0014ae671de39511f7575066200733b7	1	33	52580	4664	1799	20170522	20170529	16.50	14.10	30.60	0	0	2026-05-13 13:55:12.650
36	0015ebb40fb17286bea51d4607c4733c	1	34	17124	10514	1709	20180114	20180118	21.90	15.10	37.00	0	0	2026-05-13 13:55:12.650
37	00169e31ef4b29deaae414f9a5e95929	1	35	32488	22725	1993	20180116	20180123	39.00	16.11	55.11	0	0	2026-05-13 13:55:12.650
38	0016dfedd97fc2950e388d2971d718c7	1	36	19312	8410	1982	20170428	20170505	49.75	20.80	70.55	0	0	2026-05-13 13:55:12.650
39	0017afd5076e074a48f1f1a4c7bac9c5	1	37	56414	32726	442	20170406	20170424	809.10	44.29	853.39	0	1	2026-05-13 13:55:12.650
40	001862358bf858722e1e2ae000cfed8b	1	38	87105	25577	1506	20180206	20180213	99.99	13.72	113.71	0	0	2026-05-13 13:55:12.650
41	0019c29108428acffd089c36103c9440	1	39	77086	5369	1468	20180306	20180312	59.90	19.95	79.85	0	0	2026-05-13 13:55:12.650
42	001ab0a7578dd66cd4b0a71f5b6e1e41	1	40	77797	1415	1054	20171227	20180104	24.89	17.63	42.52	0	0	2026-05-13 13:55:12.650
43	001ab0a7578dd66cd4b0a71f5b6e1e41	2	40	77797	1415	1054	20171227	20180104	24.89	17.63	42.52	0	0	2026-05-13 13:55:12.650
44	001ab0a7578dd66cd4b0a71f5b6e1e41	3	40	77797	1415	1054	20171227	20180104	24.89	17.63	42.52	0	0	2026-05-13 13:55:12.650
45	001ac194d4a326a6fa99b581e9a3d963	1	41	22663	28317	3090	20180704	20180710	54.00	8.54	62.54	0	0	2026-05-13 13:55:12.650
46	001b76dd48a5b1eee3e87778daa40df8	1	42	66395	28328	1899	20180326	20180402	81.99	13.01	95.00	0	0	2026-05-13 13:55:12.650
47	001c85b5f68d2be0cb0797afc9e8ce9a	1	43	31773	17176	882	20171124	20171129	99.00	13.71	112.71	0	0	2026-05-13 13:55:12.650
48	001d8f0e34a38c37f7dba2a37d4eba8b	1	44	49982	29660	2962	20170514	20170518	18.99	7.78	26.77	0	0	2026-05-13 13:55:12.650
49	001d8f0e34a38c37f7dba2a37d4eba8b	2	44	49982	29660	2962	20170514	20170518	18.99	7.78	26.77	0	0	2026-05-13 13:55:12.650
50	001daeb0eddc45b999bad0801ad9d273	1	45	81638	6347	2958	20170517	20170525	38.33	16.79	55.12	0	0	2026-05-13 13:55:12.650
51	001dbc16dc51075e987543d23a0507c7	1	46	73666	15483	882	20170128	20170201	69.90	18.00	87.90	0	0	2026-05-13 13:55:12.650
52	001e7ba991be1b19605ca0316e7130f9	1	47	5985	17557	603	20170318	20170323	195.00	18.21	213.21	0	0	2026-05-13 13:55:12.650
53	001e7cf2ad6bef3ade12ebc56ceaf0f3	1	48	25040	24377	503	20180519	20180522	35.90	15.20	51.10	0	0	2026-05-13 13:55:12.650
54	0020262c8a370bd5a174ea6a2a267321	1	49	26841	21188	3080	20171128	20171204	79.50	21.05	100.55	0	0	2026-05-13 13:55:12.650
55	0020a222f55eb79a372d0efee3cca688	1	50	50224	29064	1695	20170815	20170821	29.99	15.10	45.09	0	0	2026-05-13 13:55:12.650
56	00229e4e43f7a7e0b9dd819ad43268d3	1	51	7024	2629	2366	20180331	20180410	74.90	16.49	91.39	0	0	2026-05-13 13:55:12.650
57	0025081dcf9330f9a5052ae82c6ce396	1	52	78898	10176	1172	20180327	20180402	14.95	18.23	33.18	0	0	2026-05-13 13:55:12.650
58	00254baeb6c932b0a8aeead91fbd02b5	1	53	92423	3247	2810	20180508	20180514	149.90	43.11	193.01	0	0	2026-05-13 13:55:12.650
59	00259a44fcad3fc0474329e925d14fc3	1	54	51064	1585	1939	20171227	20180103	19.99	14.10	34.09	0	0	2026-05-13 13:55:12.650
60	0025c5d1a8ca53a240ec2634bb4492ea	1	55	92717	6942	1825	20180708	20180710	390.00	29.39	419.39	0	0	2026-05-13 13:55:12.650
61	002611a77fe03d076285fd4ca95db77c	1	56	71190	32686	1657	20180227	20180307	135.00	21.75	156.75	0	0	2026-05-13 13:55:12.650
