order_sk	order_id	customer_sk	purchase_date_sk	order_status	total_items	total_item_amount	total_freight_amount	total_payment_amount	avg_review_score	is_delivered	delivery_days	estimated_delivery_days	is_delayed	delivery_delay_days	approval_days
1	00010242fe8c5a6d1ba2dd792cb16214	50000	20170913	delivered	1	58.90	13.29	72.19	5	1	7	16	0	-9	46
2	00018f77f2f0320c557190d7a144bdd3	87113	20170426	delivered	1	239.90	19.93	259.83	4	1	16	19	0	-3	12
3	000229ec398224ef6ca0657da4fc703e	20857	20180114	delivered	1	199.00	17.87	216.87	5	1	8	22	0	-14	15
4	00024acbcdf0a6daa1e931b038114c75	65065	20180808	delivered	1	12.99	12.79	25.78	4	1	6	12	0	-6	10
5	00042b26cf59d7ce69dfabb4e55b4fd9	37348	20170204	delivered	1	199.90	18.14	218.04	5	1	25	41	0	-16	13
6	00048cc3ae777c65dbb7d2a0634bc1ea	49540	20170515	delivered	1	21.90	12.69	34.59	4	1	7	22	0	-15	1813
7	00054e8431b9d7675808bcb819fb4a32	36877	20171210	delivered	1	19.90	11.85	31.75	4	1	8	25	0	-17	17
8	0005a1a1728c9d785b8e2b08b904576c	36968	20180319	delivered	1	145.95	11.65	157.60	1	1	10	10	1	0	1435
9	0005f50442cb953dcd1d21e1fb923495	2807	20180702	delivered	1	53.99	11.40	65.39	4	1	2	21	0	-19	11
10	00061f2a7bc09da83e415a52dc8a4af1	6163	20180324	delivered	1	59.99	8.88	68.87	5	1	5	16	0	-11	12
11	00063b381e2406b52ad429470734ebd5	23695	20180727	delivered	1	45.00	12.98	57.98	5	1	11	11	1	0	39
12	0006ec9db01a64e59a68b2c340bf65a7	47003	20180724	delivered	1	74.00	23.32	97.32	5	1	7	29	0	-22	20
13	0008288aa423d2a3f00fcb17cd7d8719	58591	20180213	delivered	2	99.80	26.74	126.54	5	1	13	21	0	-8	1785
14	0009792311464db532ff765bf7b182ae	27286	20180814	delivered	1	99.90	27.65	127.55	5	1	8	14	0	-6	932
15	0009c9a17f916a706d71784483a5d643	35805	20180425	delivered	1	639.00	11.34	650.34	4	1	5	14	0	-9	23
16	000aed2e25dbad2f9ddb70584c5a2ded	37213	20180511	delivered	1	144.00	8.77	152.77	1	1	7	11	0	-4	24
17	000c3e6612759851cc3cbb4b83257986	91078	20170812	delivered	1	99.00	13.71	112.71	5	1	7	20	0	-13	3927
18	000e562887b1f2006d75e0be9558292e	66247	20180222	delivered	1	25.00	16.11	41.11	3	1	18	25	0	-7	14
19	000e63d38ae8c00bbcb5a30573b99628	49626	20180323	delivered	1	47.90	8.88	56.78	3	1	4	13	0	-9	19
20	000e906b789b55f64edcb1f84030f90d	19892	20171121	delivered	1	21.99	11.85	33.84	3	1	18	16	1	2	15
21	000f25f4d72195062c040b12dce9a18a	9854	20180307	delivered	1	119.99	44.40	164.39	4	1	15	35	0	-20	37
22	001021efaa8636c29475e7734483457d	12503	20180227	delivered	1	49.00	15.10	64.10	4	1	9	24	0	-15	8
23	0010b2e5201cc5f1ae7e9c6cc8f5bd00	86120	20170911	delivered	1	48.90	16.60	65.50	5	1	12	16	0	-4	25
24	0010dedd556712d7bb69a19cb7bbd37a	62053	20171021	unavailable	0	0.00	0.00	111.12	1	0	NULL	NULL	0	NULL	3353
25	00119ff934e539cf26f92b9ef0cdfed8	7427	20170806	delivered	1	219.90	16.98	236.88	5	1	10	25	0	-15	1433
26	0011d82c4b53e22e84023405fb467e57	1058	20180116	delivered	1	289.00	26.33	315.33	4	1	10	30	0	-20	8
27	00125cb692d04887809806618a2a145f	45467	20170323	delivered	1	109.90	25.51	135.41	5	1	15	28	0	-13	44
28	00130c0eee84a3d909e75bc08c5c3ca1	67261	20180611	delivered	1	27.90	7.94	35.84	5	1	2	9	0	-7	479
29	0013503b13da1eac686219390b7d641b	7991	20171205	delivered	1	119.90	17.32	137.22	5	1	15	23	0	-8	1656
30	00137e170939bba5a3134e2386413108	21095	20171124	delivered	1	397.00	24.65	421.65	4	1	17	24	0	-7	820
31	001427c0ec99cf8af737bd88e92fd444	15902	20180407	delivered	1	59.90	23.35	83.25	2	1	18	33	0	-15	17
32	00143d0f86d6fbd9f9b38ab440ac16f5	69473	20171016	delivered	3	63.99	45.30	109.29	0	1	11	21	0	-10	38
33	0014ae671de39511f7575066200733b7	52580	20170522	delivered	1	16.50	14.10	30.60	5	1	16	22	0	-6	806
34	0015ebb40fb17286bea51d4607c4733c	17124	20180114	delivered	1	21.90	15.10	37.00	5	1	18	32	0	-14	10
35	00169e31ef4b29deaae414f9a5e95929	32488	20180116	delivered	1	39.00	16.11	55.11	1	1	7	22	0	-15	1089
36	0016dfedd97fc2950e388d2971d718c7	19312	20170428	delivered	1	49.75	20.80	70.55	5	1	24	34	0	-10	851
37	0017afd5076e074a48f1f1a4c7bac9c5	56414	20170406	delivered	1	809.10	44.29	853.39	1	1	47	43	1	4	9
38	001862358bf858722e1e2ae000cfed8b	87105	20180206	delivered	1	99.99	13.72	113.71	5	1	9	24	0	-15	1439
39	0019c29108428acffd089c36103c9440	77086	20180306	delivered	1	59.90	19.95	79.85	5	1	10	36	0	-26	10
40	001ab0a7578dd66cd4b0a71f5b6e1e41	77797	20171227	delivered	3	74.67	52.89	127.56	4	1	21	33	0	-12	1555
41	001ac194d4a326a6fa99b581e9a3d963	22663	20180704	delivered	1	54.00	8.54	62.54	5	1	8	13	0	-5	2352
42	001b76dd48a5b1eee3e87778daa40df8	66395	20180326	delivered	1	81.99	13.01	95.00	5	1	11	32	0	-21	8
43	001c85b5f68d2be0cb0797afc9e8ce9a	31773	20171124	delivered	1	99.00	13.71	112.71	2	1	28	20	1	8	199
44	001d8f0e34a38c37f7dba2a37d4eba8b	49982	20170514	delivered	2	37.98	15.56	53.54	1	1	12	10	1	2	16
45	001daeb0eddc45b999bad0801ad9d273	81638	20170517	delivered	1	38.33	16.79	55.12	5	1	22	33	0	-11	1616
46	001dbc16dc51075e987543d23a0507c7	73666	20170128	delivered	1	69.90	18.00	87.90	5	1	16	51	0	-35	15
47	001e7ba991be1b19605ca0316e7130f9	5985	20170318	delivered	1	195.00	18.21	213.21	5	1	10	25	0	-15	0
48	001e7cf2ad6bef3ade12ebc56ceaf0f3	25040	20180519	delivered	1	35.90	15.20	51.10	1	1	16	17	0	-1	30
49	0020262c8a370bd5a174ea6a2a267321	26841	20171128	delivered	1	79.50	21.05	100.55	4	1	4	24	0	-20	26
50	0020a222f55eb79a372d0efee3cca688	50224	20170815	delivered	1	29.99	15.10	45.09	5	1	9	22	0	-13	18
51	00229e4e43f7a7e0b9dd819ad43268d3	7024	20180331	delivered	1	74.90	16.49	91.39	5	1	5	26	0	-21	9
52	0025081dcf9330f9a5052ae82c6ce396	78898	20180327	delivered	1	14.95	18.23	33.18	5	1	9	21	0	-12	10
53	00254baeb6c932b0a8aeead91fbd02b5	92423	20180508	delivered	1	149.90	43.11	193.01	5	1	22	28	0	-6	29
54	00259a44fcad3fc0474329e925d14fc3	51064	20171227	delivered	1	19.99	14.10	34.09	4	1	8	26	0	-18	7
55	0025c5d1a8ca53a240ec2634bb4492ea	92717	20180708	delivered	1	390.00	29.39	419.39	5	1	23	26	0	-3	13
56	002611a77fe03d076285fd4ca95db77c	71190	20180227	delivered	1	135.00	21.75	156.75	4	1	23	27	0	-4	1983
57	002691433f09002ac9ca0c4e8dbb8ead	91635	20170202	delivered	1	104.00	16.43	120.43	5	1	5	29	0	-24	12
58	0026a368634b6e6f34f33b1499773a30	17406	20171027	delivered	1	149.00	15.80	164.80	4	1	11	35	0	-24	16
59	00275bce676303c3bfd7292aefdfa223	73272	20171124	delivered	1	279.90	13.46	293.36	5	1	10	20	0	-10	4589
60	00276d5c3491fbf55305e26891040df9	64881	20180213	delivered	1	44.90	23.22	68.12	4	1	31	37	0	-6	68
61	0028de0ca693a1bb26448916a81105cc	92301	20180815	delivered	1	29.99	15.31	45.30	4	1	13	27	0	-14	2196
62	002955b0acc63d04f6724a31967e82bd	89300	20171218	delivered	1	120.00	15.59	135.59	5	1	8	29	0	-21	128
63	0029c5db35ef291ce99d1262012e7daa	66374	20180825	delivered	1	492.75	21.62	514.37	4	1	5	9	0	-4	4541
64	0029f17cf0e7640c5cb6825af681303f	48870	20180502	delivered	1	94.90	18.54	113.44	5	1	8	20	0	-12	15
65	002af7fa9eb99d1456bceb6a13d6fc0b	75305	20180218	delivered	1	88.34	21.11	109.45	4	1	22	25	0	-3	60
66	002b430ff89b3a24c31a1170acbbedea	65970	20170620	delivered	1	199.99	65.56	265.55	5	1	9	22	0	-13	15
67	002b4e6fa42cd4a22cc86abc18fe9c05	13596	20180311	delivered	1	99.90	19.67	119.57	5	1	8	26	0	-18	11
68	002c9def9c9b951b1bec6d50753c9891	39995	20180514	delivered	2	156.00	17.80	173.80	4	1	4	11	0	-7	1480
69	002d040018d12a3853c059f7f23ab5b1	6842	20171119	delivered	1	155.00	14.84	169.84	3	1	8	19	0	-11	1951
70	002f16b7bc4530031b7d90f791b12d8a	87251	20180702	delivered	1	249.90	34.23	284.13	5	1	4	23	0	-19	20
71	002f19a65a2ddd70a090297872e6d64e	12040	20180321	shipped	1	53.98	23.31	77.29	3	0	NULL	NULL	0	NULL	10
72	002f98c0f7efd42638ed6100ca699b42	17304	20170804	delivered	2	53.89	39.73	93.62	5	1	3	32	0	-29	11
73	0030d783f979fbc5981e75613b057344	9538	20171124	delivered	1	60.60	17.67	78.27	1	1	43	21	1	22	190
74	0030ff924c38549807645976adeef2c0	81020	20180325	delivered	1	225.00	67.24	292.24	5	1	22	26	0	-4	18
75	00310b0c75bb13015ec4d82d341865a4	87615	20180815	canceled	1	39.90	15.38	55.28	1	0	NULL	NULL	0	NULL	35
76	00324b3eda39ba5ecce3945823e3594c	7278	20180410	delivered	1	76.00	34.07	110.07	5	1	23	20	1	3	1918
77	0032d07457ae9c806c79368d7d9ce96b	56571	20180310	delivered	1	159.00	27.19	186.19	1	1	50	38	1	12	55
78	003324c70b19a16798817b2b3640e721	93231	20170518	delivered	2	205.80	28.90	234.70	1	1	12	20	0	-8	18
79	00335b686d693c7d72deeb12f8e89227	12905	20170717	delivered	1	63.90	16.89	80.79	0	1	57	25	1	32	1820
80	00335f75ea6a4455b524a8dd177067f5	61635	20180425	delivered	1	168.80	8.21	177.01	5	1	8	33	0	-25	23
81	00337fe25a3780b3424d9ad7c5a4b35e	22490	20170925	delivered	2	119.80	19.88	139.68	5	1	2	15	0	-13	11
82	003423b755b562962a6225a8de40d12e	46891	20180708	delivered	1	232.75	28.58	261.33	3	1	16	31	0	-15	2457
83	00345f338696283410b7977d2e3efc89	54588	20180820	delivered	1	48.90	18.44	67.34	5	1	10	22	0	-12	246
84	0035246a40f520710769010f752e7507	79140	20170817	delivered	1	87.00	12.11	99.11	5	1	11	20	0	-9	28
85	0035c0b07126fe9c24a325216fb96064	54545	20171124	delivered	1	131.90	18.54	150.44	4	1	13	40	0	-27	21
86	0035e6b7ade84b3f5b86bd49814793df	94011	20180221	delivered	1	19.90	14.10	34.00	5	1	5	20	0	-15	264
87	0036757472ece3dde52fd4bfd929c90e	70378	20180719	delivered	1	136.99	66.04	203.03	2	1	21	32	0	-11	12
88	0036887767dea4bd43b1a88cd0d9477a	40443	20171013	delivered	1	399.99	23.64	423.63	5	1	10	19	0	-9	1443
89	00378c6c981f234634c0b9d6128df6dd	76001	20180202	delivered	1	41.00	11.85	52.85	4	1	24	24	1	0	11
90	003822434f91204da0a51fe4cf2aba18	13785	20180613	delivered	2	138.00	37.16	175.16	5	1	6	37	0	-31	2187
91	0039500db36d50d7d0bfaf23723550f3	44293	20180706	delivered	1	169.90	33.33	203.23	5	1	15	28	0	-13	14
92	003a7f59d7e08a9c61d9e2881fe6459c	20482	20180819	delivered	1	119.00	15.28	134.28	5	1	8	10	0	-2	1378
93	003a94f778ef8cfd50247c8c1b582257	94731	20180803	delivered	1	39.90	18.08	57.98	1	1	21	12	1	9	13
94	003cc6161d7a2593f2525cce0c330d32	4582	20180803	delivered	1	85.00	12.90	97.90	5	1	4	5	0	-1	31
95	003d0634280ff3d1d3a54459349a6899	17819	20180317	delivered	1	220.00	8.89	228.89	3	1	10	12	0	-2	18
96	003d804eef0e1b856881cd18e0cc0d4c	23625	20171117	delivered	1	277.00	35.74	312.74	4	1	54	31	1	23	992
