year_month	total_orders	total_customers	repeat_customers	total_gmv	avg_order_value	avg_review_score	delay_rate	dwh_create_date
2016-09	1	1	0	0.00	0.00	1	100.00	2026-05-15 15:04:02.933
2016-10	261	258	11	45907.87	175.89	3.97	1.15	2026-05-15 15:04:02.933
2016-12	1	1	1	19.62	19.62	5	0.00	2026-05-15 15:04:02.933
2017-01	747	716	56	127224.09	170.31	4.15	3.08	2026-05-15 15:04:02.933
2017-02	1638	1615	70	268874.99	164.15	4.18	3.24	2026-05-15 15:04:02.933
2017-03	2545	2507	130	414255.32	162.77	4.16	5.58	2026-05-15 15:04:02.933
2017-04	2279	2250	122	388631.09	170.53	4.11	7.85	2026-05-15 15:04:02.933
2017-05	3530	3464	214	565289.89	160.14	4.2	3.63	2026-05-15 15:04:02.933
2017-06	3130	3071	208	489500.10	156.39	4.19	3.83	2026-05-15 15:04:02.933
2017-07	3841	3772	228	562601.35	146.47	4.23	3.46	2026-05-15 15:04:02.933
2017-08	4190	4111	254	645072.77	153.96	4.28	3.32	2026-05-15 15:04:02.933
2017-09	4136	4069	266	698046.89	168.77	4.24	5.17	2026-05-15 15:04:02.933
2017-10	4478	4417	254	751140.27	167.74	4.18	5.29	2026-05-15 15:04:02.933
2017-11	7287	7181	351	1153121.68	158.24	3.96	14.31	2026-05-15 15:04:02.933
2017-12	5508	5445	258	842634.46	152.98	4.05	8.35	2026-05-15 15:04:02.933
2018-01	7045	6950	350	1075582.38	152.67	4.08	6.57	2026-05-15 15:04:02.933
2018-02	6543	6388	351	964005.93	147.33	3.85	16.02	2026-05-15 15:04:02.933
2018-03	7001	6912	309	1120606.47	160.06	3.78	21.37	2026-05-15 15:04:02.933
2018-04	6409	6360	285	1073778.97	167.54	4.18	5.52	2026-05-15 15:04:02.933
2018-05	6681	6625	291	1116056.86	167.05	4.22	8.25	2026-05-15 15:04:02.933
2018-06	5973	5936	251	992635.44	166.19	4.29	1.37	2026-05-15 15:04:02.933
2018-07	5593	5541	236	942983.67	168.60	4.28	4.76	2026-05-15 15:04:02.933
2018-08	6265	6224	213	973261.30	155.35	4.3	10.49	2026-05-15 15:04:02.933
