product_sk	product_category_name	total_orders	total_quantity_sold	total_revenue	avg_selling_price	avg_freight_value	freight_ratio	avg_review_score	avg_delivery_days	delay_rate	product_segment	dwh_create_date
1	perfumaria	1	1	120.24	101.65	18.59	18.29	5	17	0.00	REGULAR	2026-05-15 09:24:16.503
2	automotivo	1	1	143.83	129.90	13.93	10.72	4	11	0.00	REGULAR	2026-05-15 09:24:16.503
3	cama_mesa_banho	1	1	242.10	229.00	13.10	5.72	1	16	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
4	utilidades_domesticas	2	1	157.00	58.90	19.60	33.28	5	6.5	0.00	REGULAR	2026-05-15 09:24:16.503
5	relogios_presentes	1	1	218.27	199.00	19.27	9.68	5	7	0.00	REGULAR	2026-05-15 09:24:16.503
6	automotivo	1	1	67.80	52.00	15.80	30.38	1	9	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
7	cool_stuff	2	1	527.73	249.00	14.87	5.97	5	13	0.00	REGULAR	2026-05-15 09:24:16.503
8	consoles_games	7	1	456.20	38.90	11.79	30.31	3.22	9.78	11.11	REGULAR	2026-05-15 09:24:16.503
9	cama_mesa_banho	1	1	100.09	78.90	21.19	26.86	5	8	0.00	REGULAR	2026-05-15 09:24:16.503
10	moveis_decoracao	12	1	664.54	34.99	12.48	35.66	3.5	7.77	0.00	REGULAR	2026-05-15 09:24:16.503
11	cama_mesa_banho	1	1	100.64	79.90	20.74	25.96	5	20	0.00	REGULAR	2026-05-15 09:24:16.503
12	beleza_saude	5	1	319.10	33.41	12.17	36.43	4.43	6	0.00	REGULAR	2026-05-15 09:24:16.503
13	fashion_calcados	8	1	1850.61	202.33	29.00	14.33	3	21.57	25.00	REGULAR	2026-05-15 09:24:16.503
14	informatica_acessorios	1	1	37.72	29.00	8.72	30.07	5	6	0.00	REGULAR	2026-05-15 09:24:16.503
15	utilidades_domesticas	7	1	941.36	75.44	10.13	13.43	4.45	10.82	18.18	REGULAR	2026-05-15 09:24:16.503
16	cool_stuff	1	1	122.10	108.00	14.10	13.06	3	8	0.00	REGULAR	2026-05-15 09:24:16.503
17	moveis_decoracao	1	1	227.92	129.90	98.02	75.46	5	18	0.00	REGULAR	2026-05-15 09:24:16.503
18	cool_stuff	1	1	330.66	39.00	16.11	41.31	5	10	0.00	REGULAR	2026-05-15 09:24:16.503
19	brinquedos	1	1	92.90	79.90	13.00	16.27	5	18	0.00	REGULAR	2026-05-15 09:24:16.503
20	pet_shop	1	1	65.06	43.00	22.06	51.30	1	27	100.00	LOW_REVIEW	2026-05-15 09:24:16.503
21	utilidades_domesticas	1	1	23.39	16.00	7.39	46.19	5	6	0.00	REGULAR	2026-05-15 09:24:16.503
22	esporte_lazer	1	1	49.24	39.90	9.34	23.41	5	2	0.00	REGULAR	2026-05-15 09:24:16.503
23	ferramentas_jardim	2	1	342.72	153.00	18.36	12.00	4.5	14	0.00	REGULAR	2026-05-15 09:24:16.503
24	esporte_lazer	2	1	223.40	99.98	11.72	11.72	5	3.5	0.00	REGULAR	2026-05-15 09:24:16.503
25	ferramentas_jardim	1	1	46.95	35.99	10.96	30.45	5	8	0.00	REGULAR	2026-05-15 09:24:16.503
26	moveis_sala	1	1	201.77	179.90	21.87	12.16	4	6	0.00	REGULAR	2026-05-15 09:24:16.503
27	malas_acessorios	1	1	114.80	94.90	19.90	20.97	5	13	0.00	REGULAR	2026-05-15 09:24:16.503
28	casa_construcao	1	1	748.89	222.00	27.63	12.45	5	18	0.00	REGULAR	2026-05-15 09:24:16.503
29	moveis_cozinha_area_de_servico_jantar_e_jardim	1	1	984.20	449.00	43.10	9.60	3	6	0.00	REGULAR	2026-05-15 09:24:16.503
30	esporte_lazer	2	1	107.20	36.00	17.60	48.89	4.5	10.5	0.00	REGULAR	2026-05-15 09:24:16.503
31	moveis_decoracao	1	1	27.38	14.90	12.48	83.76	5	11	0.00	REGULAR	2026-05-15 09:24:16.503
32	beleza_saude	1	1	46.90	39.90	7.00	17.54	5	4	0.00	REGULAR	2026-05-15 09:24:16.503
33	esporte_lazer	1	1	548.13	527.99	20.14	3.81	1	14	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
34	construcao_ferramentas_construcao	1	1	406.48	390.00	16.48	4.23	1	34	100.00	LOW_REVIEW	2026-05-15 09:24:16.503
35	esporte_lazer	1	1	46.14	19.25	26.89	139.69	5	17	0.00	REGULAR	2026-05-15 09:24:16.503
36	moveis_decoracao	1	1	368.11	349.90	18.21	5.20	5	14	0.00	REGULAR	2026-05-15 09:24:16.503
37	utilidades_domesticas	3	1	253.24	49.00	14.31	29.20	4	4.5	0.00	REGULAR	2026-05-15 09:24:16.503
38	moveis_quarto	1	1	263.66	229.00	34.66	15.14	4	15	0.00	REGULAR	2026-05-15 09:24:16.503
39	perfumaria	13	1	338.93	14.76	11.31	76.65	4.62	9.15	7.69	REGULAR	2026-05-15 09:24:16.503
40	fashion_roupa_masculina	1	1	58.60	43.50	15.10	34.71	5	11	0.00	REGULAR	2026-05-15 09:24:16.503
41	esporte_lazer	1	1	79.31	69.99	9.32	13.32	1	7	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
42	moveis_decoracao	2	1	81.28	27.90	12.74	45.66	5	15	0.00	REGULAR	2026-05-15 09:24:16.503
43	construcao_ferramentas_seguranca	1	1	79.23	34.89	44.34	127.09	5	6	0.00	REGULAR	2026-05-15 09:24:16.503
44	beleza_saude	1	1	86.86	68.50	18.36	26.80	5	8	0.00	REGULAR	2026-05-15 09:24:16.503
45	fashion_bolsas_e_acessorios	1	1	93.31	79.00	14.31	18.11	4	18	0.00	REGULAR	2026-05-15 09:24:16.503
46	esporte_lazer	3	1	355.33	99.90	18.54	18.56	4.33	12.33	0.00	REGULAR	2026-05-15 09:24:16.503
47	automotivo	1	1	80.74	59.90	20.84	34.79	5	18	100.00	DELIVERY_RISK	2026-05-15 09:24:16.503
48	fraldas_higiene	1	1	50.71	37.00	13.71	37.05	4	21	0.00	REGULAR	2026-05-15 09:24:16.503
49	brinquedos	1	1	34.86	23.90	10.96	45.86	5	9	0.00	REGULAR	2026-05-15 09:24:16.503
50	esporte_lazer	2	1	136.26	49.90	18.23	36.53	4	8.5	0.00	REGULAR	2026-05-15 09:24:16.503
51	utilidades_domesticas	6	1	563.81	77.33	16.64	21.52	4.17	12.83	0.00	REGULAR	2026-05-15 09:24:16.503
52	construcao_ferramentas_seguranca	1	1	548.42	521.90	26.52	5.08	3	12	0.00	REGULAR	2026-05-15 09:24:16.503
53	unknown	1	1	55.00	39.90	15.10	37.84	4	12	0.00	REGULAR	2026-05-15 09:24:16.503
54	cama_mesa_banho	1	1	198.31	179.80	18.51	10.29	5	12	0.00	REGULAR	2026-05-15 09:24:16.503
55	cama_mesa_banho	1	1	231.32	207.00	24.32	11.75	5	29	100.00	DELIVERY_RISK	2026-05-15 09:24:16.503
56	beleza_saude	11	1	1341.31	100.00	21.94	21.94	3.82	13.4	18.18	REGULAR	2026-05-15 09:24:16.503
57	beleza_saude	1	1	88.95	69.49	19.46	28.00	5	13	0.00	REGULAR	2026-05-15 09:24:16.503
58	relogios_presentes	1	1	323.52	270.90	52.62	19.42	4	25	0.00	REGULAR	2026-05-15 09:24:16.503
59	esporte_lazer	19	1	3459.24	139.04	25.68	18.47	4.48	12.14	4.76	REGULAR	2026-05-15 09:24:16.503
60	cama_mesa_banho	5	1	885.54	159.90	17.21	10.76	5	6.8	20.00	REGULAR	2026-05-15 09:24:16.503
61	informatica_acessorios	3	1	172.78	39.90	17.69	44.34	1.67	12	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
62	utilidades_domesticas	2	1	343.86	149.33	22.60	15.13	4	9	0.00	REGULAR	2026-05-15 09:24:16.503
63	utilidades_domesticas	1	1	49.74	29.90	19.84	66.35	4	10	0.00	REGULAR	2026-05-15 09:24:16.503
64	beleza_saude	3	1	190.50	44.90	18.60	41.43	5	9.67	0.00	REGULAR	2026-05-15 09:24:16.503
65	moveis_decoracao	2	1	71.64	18.75	17.07	91.04	4	16	0.00	REGULAR	2026-05-15 09:24:16.503
66	brinquedos	7	1	504.18	57.79	14.24	24.64	4	13.43	14.29	REGULAR	2026-05-15 09:24:16.503
68	automotivo	1	1	1052.36	949.90	102.46	10.79	5	28	100.00	DELIVERY_RISK	2026-05-15 09:24:16.503
69	informatica_acessorios	1	1	65.09	49.99	15.10	30.21	5	15	0.00	REGULAR	2026-05-15 09:24:16.503
70	informatica_acessorios	1	1	29.09	14.99	14.10	94.06	4	13	0.00	REGULAR	2026-05-15 09:24:16.503
71	telefonia	1	1	37.83	24.99	12.84	51.38	2	7	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
72	moveis_decoracao	1	1	55.56	8.73	19.05	218.21	2	22	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
73	unknown	6	1	882.52	91.24	19.08	20.91	3.38	8.13	0.00	REGULAR	2026-05-15 09:24:16.503
74	esporte_lazer	3	1	321.77	89.90	17.36	19.31	4	12.67	0.00	REGULAR	2026-05-15 09:24:16.503
75	automotivo	1	1	148.01	129.01	19.00	14.73	5	8	0.00	REGULAR	2026-05-15 09:24:16.503
76	utilidades_domesticas	1	1	117.46	94.00	23.46	24.96	5	4	0.00	REGULAR	2026-05-15 09:24:16.503
77	telefonia	1	1	81.21	66.00	15.21	23.05	5	14	0.00	REGULAR	2026-05-15 09:24:16.503
78	utilidades_domesticas	11	1	1052.78	46.12	19.68	42.67	3.69	8.94	0.00	REGULAR	2026-05-15 09:24:16.503
79	perfumaria	12	1	759.47	47.90	15.39	32.13	4.17	14	8.33	REGULAR	2026-05-15 09:24:16.503
80	automotivo	1	1	638.58	268.88	50.41	18.75	4	8	0.00	REGULAR	2026-05-15 09:24:16.503
81	artigos_de_natal	1	1	31.66	16.56	15.10	91.18	5	14	0.00	REGULAR	2026-05-15 09:24:16.503
82	cama_mesa_banho	5	1	361.61	48.90	23.42	47.90	3	15.8	20.00	REGULAR	2026-05-15 09:24:16.503
83	cool_stuff	1	1	165.56	146.65	18.91	12.89	3	11	0.00	REGULAR	2026-05-15 09:24:16.503
84	perfumaria	2	1	226.15	99.99	13.09	13.09	5	7	0.00	REGULAR	2026-05-15 09:24:16.503
85	papelaria	1	1	103.37	84.90	18.47	21.76	5	15	0.00	REGULAR	2026-05-15 09:24:16.503
86	brinquedos	1	1	49.55	33.90	15.65	46.17	5	8	0.00	REGULAR	2026-05-15 09:24:16.503
87	telefonia_fixa	1	1	25.42	10.90	14.52	133.21	4	7	0.00	REGULAR	2026-05-15 09:24:16.503
88	relogios_presentes	1	1	768.99	749.99	19.00	2.53	5	9	0.00	REGULAR	2026-05-15 09:24:16.503
89	livros_interesse_geral	1	1	39.23	21.00	18.23	86.81	1	NULL	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
90	casa_construcao	2	1	818.10	351.06	58.00	16.52	3	22.5	0.00	REGULAR	2026-05-15 09:24:16.503
91	cama_mesa_banho	1	1	148.18	113.90	34.28	30.10	3	5	0.00	REGULAR	2026-05-15 09:24:16.503
92	consoles_games	1	1	30.86	19.90	10.96	55.08	4	9	0.00	REGULAR	2026-05-15 09:24:16.503
93	utilidades_domesticas	1	1	39.61	31.90	7.71	24.17	5	1	0.00	REGULAR	2026-05-15 09:24:16.503
94	unknown	1	1	45.00	29.90	15.10	50.50	5	14	0.00	REGULAR	2026-05-15 09:24:16.503
95	moveis_decoracao	1	1	25.75	13.90	11.85	85.25	5	14	0.00	REGULAR	2026-05-15 09:24:16.503
96	moveis_decoracao	1	1	195.93	169.90	26.03	15.32	2	19	0.00	LOW_REVIEW	2026-05-15 09:24:16.503
97	informatica_acessorios	1	1	122.13	83.99	38.14	45.41	5	9	0.00	REGULAR	2026-05-15 09:24:16.503
98	telefonia	1	1	34.77	26.99	7.78	28.83	5	4	0.00	REGULAR	2026-05-15 09:24:16.503
99	automotivo	1	1	133.94	118.80	15.14	12.74	5	9	100.00	DELIVERY_RISK	2026-05-15 09:24:16.503
100	telefonia	14	1	2245.15	106.34	18.39	17.29	2.78	20.27	5.56	LOW_REVIEW	2026-05-15 09:24:16.503
