seller_sk	total_orders	total_items_sold	total_revenue	avg_order_value	avg_item_price	avg_review_score	avg_delivery_days	delay_rate	repeat_customer_rate	seller_segment	dwh_create_date
1589	179	202	14800.43	73.27	55.47	3.92	10.18	4.46	4.46	REGULAR	2026-05-15 08:45:03.073
2585	1	1	107.30	107.30	69.90	5	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2917	2	2	410.75	205.38	163.90	4	18	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2253	11	11	3519.45	319.95	290.01	4.18	11.4	9.09	0.00	REGULAR	2026-05-15 08:45:03.073
1921	1	1	234.61	234.61	196.90	2	23	100.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
902	1	1	136.97	136.97	109.90	5	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1898	17	17	3108.83	182.87	156.41	3.88	16.47	17.65	0.00	REGULAR	2026-05-15 08:45:03.073
355	13	15	1602.10	106.81	85.23	3.6	15.71	0.00	20.00	REGULAR	2026-05-15 08:45:03.073
687	3	6	409.98	68.33	55.82	4.17	16.2	16.67	0.00	REGULAR	2026-05-15 08:45:03.073
1234	2	4	254.62	63.66	50.75	5	6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2230	2	2	382.47	191.24	170.99	5	6.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
23	5	5	1533.71	306.74	293.20	5	6.6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2894	5	5	1086.60	217.32	200.53	4.8	10.2	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1566	2	2	111.83	55.92	42.00	3	14	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2562	1	1	339.86	339.86	328.90	5	13	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1875	66	70	14274.52	203.92	187.70	3.9	15.03	10.00	2.86	REGULAR	2026-05-15 08:45:03.073
1543	54	89	9684.61	108.82	92.17	4.26	8.94	5.62	6.74	REGULAR	2026-05-15 08:45:03.073
1374	57	76	6024.84	79.27	63.92	4.58	10.51	2.63	2.63	REGULAR	2026-05-15 08:45:03.073
378	20	25	5118.75	204.75	181.50	4.28	11.92	4.00	20.00	REGULAR	2026-05-15 08:45:03.073
547	23	27	4209.33	155.90	137.67	4.33	9.74	7.41	3.70	REGULAR	2026-05-15 08:45:03.073
2207	7	11	787.75	71.61	51.45	2.91	13.18	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2539	1	1	254.01	254.01	237.60	1	30	100.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
46	13	13	2501.75	192.44	143.01	3.92	17.46	30.77	7.69	DELAY_RISK	2026-05-15 08:45:03.073
1042	13	14	1192.56	85.18	61.85	2.93	14.38	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
710	10	10	1222.89	122.29	96.88	4	12.78	0.00	10.00	REGULAR	2026-05-15 08:45:03.073
879	2	3	846.62	282.21	256.00	2.67	9.67	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
215	14	16	1650.49	103.16	79.83	4.75	12.87	6.25	12.50	REGULAR	2026-05-15 08:45:03.073
1211	1	1	420.29	420.29	367.00	5	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1188	15	16	14155.20	884.70	832.67	3.88	13	12.50	12.50	REGULAR	2026-05-15 08:45:03.073
1729	24	26	13838.22	532.24	512.02	4.15	16.88	7.69	3.85	REGULAR	2026-05-15 08:45:03.073
733	42	47	4263.81	90.72	73.65	3.73	9.35	2.13	2.13	REGULAR	2026-05-15 08:45:03.073
856	3	3	315.44	105.15	58.57	4.67	14	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
524	12	15	2917.37	194.49	171.73	4.6	10.73	0.00	13.33	REGULAR	2026-05-15 08:45:03.073
1065	3	3	123.75	41.25	29.90	5	7.33	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
401	3	3	120.22	40.07	24.99	3.33	14.5	0.00	33.33	REGULAR	2026-05-15 08:45:03.073
1520	1	1	70.65	70.65	49.90	5	13	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
192	5	6	524.00	87.33	75.00	4.83	6.83	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2061	2	2	202.90	101.45	86.50	5	12.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1397	1	1	184.71	184.71	167.90	5	7	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
69	1	1	188.42	188.42	179.90	5	5	100.00	0.00	DELAY_RISK	2026-05-15 08:45:03.073
2748	14	17	1411.13	83.01	63.81	3.24	14.65	11.76	0.00	REGULAR	2026-05-15 08:45:03.073
2084	44	44	5923.66	134.63	107.91	4.48	7.02	0.00	2.27	REGULAR	2026-05-15 08:45:03.073
1420	21	25	3073.27	122.93	105.29	4.4	7	4.00	8.00	REGULAR	2026-05-15 08:45:03.073
3086	20	20	23695.20	1184.76	1097.04	3.65	11.5	25.00	5.00	REGULAR	2026-05-15 08:45:03.073
501	3	3	192.04	64.01	49.20	3.33	10.33	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
756	7	7	1014.95	144.99	129.90	4.71	8.43	0.00	14.29	REGULAR	2026-05-15 08:45:03.073
1443	54	57	9394.81	164.82	141.84	4.28	13.59	3.51	7.02	REGULAR	2026-05-15 08:45:03.073
2771	2	2	937.71	468.86	454.50	4.5	6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
